Batch,ResponseId,con.reveal,con.precise,con.sequence,total_bonus,total_pay,difficulty,strategy,strategy_9_TEXT,adviceNoticed,adviceFeeling,rationaleFeeling,adviceIncorporate,adviceThoughts,bestTip,driversLicense,cars,similarGames,freqDrive,attention,nav,navDeviation,gender,gender_3_TEXT,age,degree,employment,location,otherComments,advicePrecision,adviceSummary
4,R_1sn6kHwgTJ19spV,1,2,2,0.9,4.9,Moderately difficult,"Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Neither positive nor negative,Slightly positive,Generally followed the advice but deviated sometimes when I thought I had a better strategy,Didn't know how reliable it was.  I'm wary of tricks!,"I kept charging more than necessary because I was setting the slider to my desired charge, instead of subtracting the charge I still had in the battery.",Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Rarely,About half the time,Male,"",35-44,4 year degree,Unemployed looking for work,"Merrillville, IN","",Type B would be much better,Ranged from you should skip charging to you should charge to cover multiple segments.
4,R_6vx6yUsEER5Zanf,0,2,2,0,4,Extremely difficult,Other (Please Decribe),"look at charge left, decide whether to recharge and how much. That's all. Other information was too much to juggle so I didn't consider it.",Yes,Neither positive nor negative,"",Did not follow the advice at all or only rarely,I've been doing studies a long time. Some include advice for what to do. I always ignore it. I'd rather make my own decisions. Sometimes they match the advice; sometimes they don't.,"From what I remember the advice was already simple - charge, or don't charge. I can't come up with anything better, especially since I am sure I'm not the only one who will ignore it.

I want to add something about the part below this, because there's no writing box there: Type B is too complicated and will cause some players (like me) to just give up or ignore the advice. The other rules here/instructions are already complex. Adding advice that is also complex is discouraging.",Yes,No,Never,2-3 times a week,Once in a while,Rarely,About half the time,Female,"",65 and over,4 year degree,Retired,"Philadelphia suburbs, PA","I wonder if owners of electric cars have to consider this much information when deciding whether to recharge. I hope not, because it's too much for some people (including me).",Type A would be much better,"I didn't pay that much attention to it because I never take advice in studies so all I can say is, sometimes it said to charge and sometimes it said not to charge. I think I probably did what it was suggesting but it would have been a coincidence because the advice didn't matter to me."
4,R_1OmxzBtAdIjbTFL,0,3,2,1.15,5.15,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Extremely positive,"",Always followed the AI advice closely,"The advice proved useful and successful. I found it effective, so I continued to use it, albeit in a mildly modified form at times.","The advice should remain as-is. It's highly effective, and people should follow it, trying to learn from it and incorporating it into their own game.",Yes,Only non-electric or hybrid car(s),Once in a while,Once a week,Once in a while,About half the time,Rarely,Female,"",65 and over,High school graduate,Retired,"Mulkeytown, Illinois","",Type A would be much better,The advice you gave helped me achieve the bonuses when I otherwise likely wouldn't have. It usually aimed to help minimize charging while ensuring enough power to make it to each exit/stop.
4,R_7SjGq06CPxkrOFi,1,3,1,2.25,6.25,Moderately difficult,Tried to charge just enough for the next stop to aim for faster charging,"",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,"I incorporated the advise because each time I got it, I got the max bonus.",Charge to 50% first stop.  Keep charges to under 50%.  Skip some charges.,Yes,Only non-electric or hybrid car(s),Never,2-3 times a week,Once in a while,Rarely,About half the time,Male,"",25-34,4 year degree,Employed full time,"State College, PA",It was fun to play.,Type B would be much better,Charge to 50% at first.  Then do short charges and skip some charges.
4,R_5QWfF5cqzrPz9TA,0,1,1,3.6,7.6,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments","",No,Did not notice the advice,"",Did not follow the advice at all or only rarely,Didn't see it.,Try not to run out of juice.,Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,About half the time,Rarely,Male,"",35-44,4 year degree,Employed full time,mn,"",Type B would be much better,I didn't see it.
4,R_50u6ja4CoFQoF12,0,1,2,2.6,6.6,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Moderately positive,"",Generally followed the advice but deviated sometimes when I thought I had a better strategy,"Sometimes the advice seemed adequate, but other times it didn't.  Occasionally I just decided to take my chances.",Don't forget to take into account how much charge you have left when calculating how much charge you need for the next segment of the road.,Yes,Only non-electric or hybrid car(s),Never,4-6 times a week,Once in a while,About half the time,Rarely,Male,"",45-54,4 year degree,Employed full time,"New York City, New York","",Type A would be much better,sometimes I was adviced to charge just enough to get to the next stop and others I was adviced to charge more.  Other times I was adviced not to stop and charge
4,R_1CKr0e3sB4gmwLg,0,3,1,1.9,5.9,Moderately difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Charged more than necessary since it’s difficult to anticipate all the exits","",Yes,Extremely positive,"",Always followed the AI advice closely,The first round that advice was available I followed it just to see how it would do. It was extremely helpful so I followed it the second time.,Watch how the charge and time vary over the possibilites.,Yes,Only non-electric or hybrid car(s),Never,Once in a while,Once in a while,About half the time,Rarely,Female,"",45-54,4 year degree,Employed part time,"Farmington, Minnesota","",Type A would be much better,The advice gave very specific amounts to charge at various stops.
4,R_3Ry1BYKypzdC4Kc,1,1,2,2.2,6.2,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Tried to charge just enough for the next stop to aim for faster charging","",Yes,Moderately positive,Moderately positive,Always followed the AI advice closely,"I chose to incorporate the advice into my strategy because it seemed very sound. I felt more confident in following the advice after the first round where I followed it closely, as I saw it improved my results.","Take the current amount of charge you have, and subtract that amount from the estimated maximum distance to the next stop, and try to charge only slightly more above the sum to guarantee that you'll have enough charge to arrive without spending an excess amount of time charging.",Yes,Only non-electric or hybrid car(s),Never,2-3 times a week,Once in a while,Rarely,Never,Male,"",25-34,High school graduate,Employed part time,"Athens, Tennessee",No further comments.,Type A would be moderately better,"I was told to get my charge to a high level at Stop 0 so that I would have enough charge to drive through multiple road segments without having to stop, as it took less time to charge from 0 to 50 than beyond."
4,R_1ewB9Fotnla3wuT,1,3,2,1.15,5.15,Extremely difficult,Charged more than necessary since it’s difficult to anticipate all the exits,"",Yes,Extremely positive,Extremely positive,Always followed the AI advice closely,I used the advice since I wasn't performing overly well on my own.,"If the next segment is short, take a chance and see if you can make it without charging.",Yes,Only non-electric or hybrid car(s),Never,Daily,Once in a while,Usually,Rarely,Female,"",45-54,4 year degree,Employed full time,"Gilber, Arizona","",Type B would be slightly better,"The advice was very helpful and though I didn't do well on the long trips, I did better thanks to the tips from the AI."
4,R_5YVPDVtjiw60rjH,0,2,1,2.15,6.15,Slightly difficult,"Carefully considered the travel time and traffic for the next stops and thought about how to minimize the time taken without running out of charge,Minimized the number of times I recharged by combining the travel time and traffic of multiple road segments","",Yes,Moderately positive,"",Always followed the AI advice closely,I looked at how much each leg would be individually and together and the AI seemed to suggest the cheapest way,"Keep charging around 50, the higher you go the less efficient charging is",Yes,No,Never,2-3 times a week,Once in a while,Rarely,About half the time,Male,"",45-54,2 year degree,Employed part time,"Orlando, FL","",Type B would be much better,sometimes charge just enough to make it to the next stop or charge enough for two stops
