bestTip,sentiment_polarity,sentiment_subjectivity,total_bonus,con.precise
"I kept charging more than necessary because I was setting the slider to my desired charge, instead of subtracting the charge I still had in the battery.",0.25,0.75,0.9,2
"From what I remember the advice was already simple - charge, or don't charge. I can't come up with anything better, especially since I am sure I'm not the only one who will ignore it.

I want to add something about the part below this, because there's no writing box there: Type B is too complicated and will cause some players (like me) to just give up or ignore the advice. The other rules here/instructions are already complex. Adding advice that is also complex is discouraging.",-0.024999999999999998,0.6578924162257497,0.0,2
"The advice should remain as-is. It's highly effective, and people should follow it, trying to learn from it and incorporating it into their own game.",0.26666666666666666,0.7333333333333334,1.15,3
Charge to 50% first stop.  Keep charges to under 50%.  Skip some charges.,0.25,0.3333333333333333,2.25,3
Try not to run out of juice.,0.0,0.0,3.6,1
Don't forget to take into account how much charge you have left when calculating how much charge you need for the next segment of the road.,0.1,0.1,2.6,1
Watch how the charge and time vary over the possibilites.,0.0,0.0,1.9,3
"Take the current amount of charge you have, and subtract that amount from the estimated maximum distance to the next stop, and try to charge only slightly more above the sum to guarantee that you'll have enough charge to arrive without spending an excess amount of time charging.",0.08333333333333333,0.4166666666666667,2.2,1
"If the next segment is short, take a chance and see if you can make it without charging.",0.0,0.15,1.15,3
"Keep charging around 50, the higher you go the less efficient charging is",0.04166666666666667,0.2833333333333333,2.15,2
Make sure you are looking at the correct trip segment to base your decisions on.  I think I was sometimes looking at the next segment instead.,-0.10000000000000002,0.6296296296296297,1.9,3
Always charge 100% at the start of the game.,-0.4,0.4,1.6,2
Try to do more short charges than relying on full charges,0.2833333333333333,0.45,1.8,3
Minimize time spent charging whenever possible.,-0.05,0.55,2.6,1
always make sure you have more then enough gas or youll end up paying 300 points which put you far from the goal,0.275,0.7222222222222222,0.2,2
"The tips provided to me were the easiest to understand, I'm not too sure how simpler to make it.",0.5,0.8888888888888888,2.25,3
"Follow advice of the advice, try and memorize it. ",0.0,0.0,2.25,3
Try an only get enough charge to go for the next two stops.,0.0,0.5,2.3,3
"If traffic conditions aren't green (orange or red), lean way more towards the higher end of the possibility than you think you might (even if it's orange and you want to aim for for the middle).",0.11000000000000001,0.26,1.4,1
"For single stops of ~50 or above: charge to the maximum possible travel time, maybe 1-2 lower if you're feeling dangerous. For shorter stops: combine them up to ~50-60 and undercut the combined max by a little, you have the option to charge again in the middle if you get unlucky with traffic on the first stop.",-0.08698979591836734,0.435374149659864,4.55,3
Make sure you have enough charge to cover this and the next stop with traffic.,0.16666666666666666,0.46296296296296297,0.8,2
Follow the a.i. advice.,0.0,0.0,1.8,3
Take your time to calculate the distance/time before deciding to go on with your decision. At the very most charge at 50% and then calculate.,0.65,0.65,1.55,3
I don't know.  I wish I would have really wrapped my head around the idea that the smaller charges weren't that bad.,-0.1666666666666666,0.45555555555555555,0.8,1
Charge the minimum you can do at all stops,0.0,0.0,0.8,1
"I think the advice given was perfectly fine. It helped me succeed as best as one can in this game. When I didn't have advice, I didn't do nearly as well, so there's nothing I coud recommend confidently.",0.32333333333333336,0.4866666666666667,2.65,3
Charge for 2 low rounds in a row so that you save time,0.0,0.3,3.2,1
"When the traffic might be high, I was less likely to """"stock up"""" on a charge, because it would take longer and I might likely have to stop and charge anyway.",-0.0016666666666666635,0.6516666666666666,2.45,1
"Always charge more than you think you might need to barely make it, it is not worth the risk.",0.13333333333333333,0.2333333333333333,1.7,3
advice on how increments of charging per minute would affect total time taken,0.0,0.75,2.25,3
"Basically look at your current round, and the next round, determine if you can """"quickly"""" charge for both rounds, if not just charge enough for your current round.",-0.03333333333333334,0.375,2.65,1
