adviceThoughts,sentiment_polarity,sentiment_subjectivity,total_bonus
Didn't know how reliable it was.  I'm wary of tricks!,-0.625,0.7,0.9
I've been doing studies a long time. Some include advice for what to do. I always ignore it. I'd rather make my own decisions. Sometimes they match the advice; sometimes they don't.,0.27499999999999997,0.7,0.0
"The advice proved useful and successful. I found it effective, so I continued to use it, albeit in a mildly modified form at times.",0.4958333333333333,0.5625,1.15
"I incorporated the advise because each time I got it, I got the max bonus.",0.0,0.0,2.25
Didn't see it.,0.0,0.0,3.6
"Sometimes the advice seemed adequate, but other times it didn't.  Occasionally I just decided to take my chances.",0.06944444444444443,0.27777777777777773,2.6
The first round that advice was available I followed it just to see how it would do. It was extremely helpful so I followed it the second time.,0.065,0.42666666666666664,1.9
"I chose to incorporate the advice into my strategy because it seemed very sound. I felt more confident in following the advice after the first round where I followed it closely, as I saw it improved my results.",0.26166666666666666,0.44777777777777783,2.2
I used the advice since I wasn't performing overly well on my own.,0.6,1.0,1.15
I looked at how much each leg would be individually and together and the AI seemed to suggest the cheapest way,0.1,0.30000000000000004,2.15
I don't like being told what to do and I wanted to figure it out on my own.,0.6,1.0,1.9
It wasn't that different from my own thinking.,0.3,0.8,1.6
"the AI was very efficient, so there was no reason not to follow its advice",0.2,0.3,1.8
I was curious to see how their advice panned out and when it did i implemented it.,-0.1,1.0,2.6
i figured the that ai would have some knowledge so that i didnt have to think about how much gas was being used,0.2,0.2,0.2
"After listening to it the first time and getting better results then my own, I listened to it whenever it popped up.",0.45,0.611111111111111,2.25
"Task is super complicated and mathy, needed all the help I could get. ",-0.08333333333333334,0.8333333333333333,2.25
The previous rounds with no advice were unsuccessful. Taking the provided advice was worth trying.,0.06666666666666667,0.13333333333333333,2.3
Sometimes it seemed like the next stop would be better to charge for too because it was pretty short,0.1875,0.45,1.4
"It seemed better to combine the shorter travel times when they add up to ~50. It got me under the highest reward goal, I don't know if maybe charging every stop could go lower.",0.5,0.5,4.55
"I think I followed it, because it was making sense with what I was going to do anyway. ",0.0,0.0,0.8
I felt that the a.i. would calculate better than I could.,0.5,0.5,1.8
"I wanted to experiment just how much charge I could get, so sometimes I would go over the 50% charge just to check.",0.2,0.2,1.55
"I usually did follow it, I think, because it was what I would have done normally.",-0.05,0.44999999999999996,0.8
I felt the advice made sense I didnt feel misled so I followed the advice,0.0,0.0,0.8
"I followed the advice exactly as it recommended the first time, and it results in <500, so I had no issue thinking the advice would guide me poorly and continued to follow it.",0.033333333333333326,0.3944444444444444,2.65
I was thinking the same way but was glad to have my feelings backed up,0.25,0.5625,3.2
I felt the algorithm would know better than I did.,0.5,0.5,2.45
When it looked like the strategy would not work for the round,-0.2,0.4,1.7
When I judged a decent gamble to not charge more,0.3333333333333333,0.5833333333333333,2.25
Not sure... I thought if I charged UP to the 50% it would be quicker in the next round when I needed to charge but it never seemed to be. When it's lower it charges fast so I think i kept it too charged if that makes sense.,-0.0625,0.4722222222222222,2.65
